자치구,행정동,지역,공식조회자치구,공공임대_공급단위수,공공임대_세대수,매입임대_공급단위수,매입임대_세대수,국민임대_공급단위수,국민임대_세대수,행복주택_공급단위수,행복주택_세대수,영구임대_공급단위수,영구임대_세대수,10년임대_공급단위수,10년임대_세대수,50년임대_공급단위수,50년임대_세대수,2030인구수,공공임대_1000명당,매입임대_1000명당,행복주택_1000명당,국민임대_1000명당,영구임대_1000명당,행복주택_공급비율,공공임대_상대부족,행복주택_공급없음,2030인구_TOP10,공공임대_수요대비점검후보,행복주택_공급공백_TOP10,청년주거지원_점검후보,공공임대_공급상태,공공임대_정책보조해석,공공임대_HL반영여부,공공임대지표_역할
광산구,신가동,광산구 신가동,광산구,39,614,38,224,1,390,0,0,0,0,0,0,0,0,4415,139.07,50.74,0.0,88.34,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
남구,봉선2동,남구 봉선2동,남구,4,24,4,24,0,0,0,0,0,0,0,0,0,0,4388,5.47,5.47,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
서구,화정2동,서구 화정2동,서구,7,68,7,68,0,0,0,0,0,0,0,0,0,0,3709,18.33,18.33,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
북구,운암1동,북구 운암1동,북구,23,47,23,47,0,0,0,0,0,0,0,0,0,0,3638,12.92,12.92,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
남구,효덕동,남구 효덕동,남구,114,4437,106,112,5,2713,2,1362,1,250,0,0,0,0,3458,1283.11,32.39,393.87,784.56,72.3,30.7,False,False,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
서구,농성1동,서구 농성1동,서구,24,1018,21,215,1,245,1,60,1,498,0,0,0,0,3176,320.53,67.7,18.89,77.14,156.8,5.89,False,False,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
북구,문흥1동,북구 문흥1동,북구,16,99,16,99,0,0,0,0,0,0,0,0,0,0,2910,34.02,34.02,0.0,0.0,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
동구,충장동,동구 충장동,동구,11,81,11,81,0,0,0,0,0,0,0,0,0,0,2900,27.93,27.93,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
북구,두암2동,북구 두암2동,북구,18,162,18,162,0,0,0,0,0,0,0,0,0,0,2737,59.19,59.19,0.0,0.0,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
동구,계림1동,동구 계림1동,동구,20,194,20,194,0,0,0,0,0,0,0,0,0,0,2635,73.62,73.62,0.0,0.0,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
광산구,송정1동,광산구 송정1동,광산구,7,81,6,71,1,10,0,0,0,0,0,0,0,0,2234,36.26,31.78,0.0,4.48,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
동구,지원1동,동구 지원1동,동구,4,59,4,59,0,0,0,0,0,0,0,0,0,0,1870,31.55,31.55,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
동구,학동,동구 학동,동구,8,8,8,8,0,0,0,0,0,0,0,0,0,0,1639,4.88,4.88,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
남구,방림1동,남구 방림1동,남구,10,91,10,91,0,0,0,0,0,0,0,0,0,0,1255,72.51,72.51,0.0,0.0,0.0,0.0,False,True,False,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
동구,지산2동,동구 지산2동,동구,1,7,1,7,0,0,0,0,0,0,0,0,0,0,1132,6.18,6.18,0.0,0.0,0.0,0.0,True,True,False,False,False,False,청년인구 대비 상대적 공급 부족,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
