"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"39","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
"40","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","5","2016","신항로276번길 6","202601~202712","갱신","-","200","35"
"41","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","8","2016","신항로276번길 6","202601~202608","신규","-","",""
"42","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","6","2016","신항로276번길 6","202601~202612","갱신","-","200","35"
"43","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202712","갱신","-","200","35"
"44","전남광주통합특별시 목포시 상동","927-3","0927","0003","홍익인간오피스텔","월세","28.1000","202512","31","300","34","7","2008","삼각로 22","202601~202701","신규","-","",""
"45","전남광주통합특별시 무안군 삼향읍 남악리","1476","1476","0000","남악 유탑유블레스900","월세","28.2400","202512","30","100","35","4","2014","후광대로 330","202512~202606","신규","-","",""
"46","전남광주통합특별시 광산구 월계동","872-4","0872","0004","더허브","월세","30.0000","202512","30","500","55","7","2020","임방울대로800번길 11-10","202602~202802","신규","-","",""
"47","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","30","13,000","15","8","2021","첨단연신로 100","202512~202712","신규","-","",""
"48","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","30","13,000","15","12","2021","첨단연신로 100","202602~202802","신규","-","",""
"49","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","30","13,000","15","2","2021","첨단연신로 100","202601~202801","신규","-","",""
"50","전남광주통합특별시 무안군 청계면 도림리","435-2","0435","0002","도림목포캠퍼스시티","월세","53.7200","202512","30","55","55","5","2019","도림길 74","202602~202702","신규","-","",""
"51","전남광주통합특별시 남구 주월동","957-1","0957","0001","주월동 홀리어스 오피스텔","월세","26.2500","202512","30","500","65","5","2020","대남대로 219","202601~202608","신규","-","",""
"52","전남광주통합특별시 나주시 빛가람동","204-1","0204","0001","휴로스센트럴 오피스텔","월세","30.7700","202512","30","1,300","40","10","2020","상야3길 17","202601~202701","신규","-","",""
"53","전남광주통합특별시 나주시 빛가람동","204-1","0204","0001","휴로스센트럴 오피스텔","월세","31.6100","202512","30","1,000","47","6","2020","상야3길 17","202601~202701","신규","-","",""
"54","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","30","300","39","3","2015","상야3길 8","202512~202612","갱신","사용","300","37"
"55","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","30","300","40","4","2015","상야3길 8","202512~202612","신규","-","",""
"56","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","30","300","42","10","2014","상야2길 7","202601~202612","신규","-","",""
"57","전남광주통합특별시 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.4800","202512","30","300","38","10","2015","그린로 379","202512~202612","신규","-","",""
"58","전남광주통합특별시 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.4800","202512","30","300","37","5","2015","그린로 379","202601~202701","갱신","-","300","35"
"59","전남광주통합특별시 서구 치평동","1202-2","1202","0002","랜드피아오피스텔","월세","30.4200","202512","30","300","35","12","2005","상무중앙로 114","202601~202701","신규","-","",""
"60","전남광주통합특별시 동구 서석동","70","0070","0000","고운 디아르떼 문화전당","전세","27.8000","202512","30","10,440","0","16","2025","문화전당로26번길 12","202601~202801","신규","-","",""
"61","전남광주통합특별시 동구 서석동","70","0070","0000","고운 디아르떼 문화전당","전세","27.8000","202512","30","10,440","0","7","2025","문화전당로26번길 12","202602~202802","신규","-","",""
"62","전남광주통합특별시 동구 서석동","70","0070","0000","고운 디아르떼 문화전당","전세","27.8000","202512","30","10,440","0","11","2025","문화전당로26번길 12","202602~202802","신규","-","",""
"63","전남광주통합특별시 남구 봉선동","1157-9","1157","0009","주1동","월세","22.0800","202512","30","7,800","14","2","2021"," ","202601~202801","신규","-","",""
"64","전남광주통합특별시 동구 소태동","532-83","0532","0083","소태동 532-83 업무시설 (유한회사태명개발)","월세","29.9200","202512","30","6,900","22","4","2020","남문로634번길 1-5","202601~202801","신규","-","",""
"65","전남광주통합특별시 동구 대인동","148-1","0148","0001","영무 파라드 주상복합","월세","24.9000","202512","30","500","32","2","2019","구성로194번길 15-10","202601~202701","신규","-","",""
"66","전남광주통합특별시 여수시 학동","61-1","0061","0001","스위트엠 학동","전세","54.1700","202512","30","18,000","0","14","2020","도원로 233","202601~202801","신규","-","",""
"67","전남광주통합특별시 동구 금남로3가","1-28","0001","0028","중건핀다","전세","26.8400","202512","30","10,000","0","4","2021","중앙로196번길 4","202512~202612","신규","-","",""
"68","전남광주통합특별시 동구 금남로3가","1-28","0001","0028","중건핀다","월세","26.3300","202512","30","8,600","10","3","2021","중앙로196번길 4","202602~202802","갱신","-","8,600","6"
"69","전남광주통합특별시 서구 농성동","417-36","0417","0036","어반센트럴","전세","49.4900","202512","30","18,500","0","18","2021","죽봉대로 62","202602~202802","신규","-","",""
"70","전남광주통합특별시 서구 농성동","417-22","0417","0022","광천 중해마루힐 주상복합","월세","84.6500","202512","30","18,000","23","16","2022","내방로 415","202603~202803","신규","-","",""
"71","전남광주통합특별시 서구 농성동","417-18","0417","0018","골든힐스타워","월세","24.3800","202512","30","300","35","6","2015","죽봉대로78번길 10","202512~202612","신규","-","",""
"72","전남광주통합특별시 목포시 상동","927-3","0927","0003","홍익인간오피스텔","월세","27.7300","202512","30","300","35","3","2008","삼각로 22","202601~202701","신규","-","",""
"73","전남광주통합특별시 목포시 상동","974-6","0974","0006","대송샵오피스텔","월세","39.3300","202512","30","500","43","9","2003","교육로 19","202601~202701","신규","-","",""
"74","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","200","44","9","2016","신항로276번길 6","202601~202612","갱신","-","200","35"
"75","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","300","55","7","2016","신항로276번길 6","202512~202612","신규","-","",""
"76","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","300","55","9","2016","신항로276번길 6","202512~202612","신규","-","",""
"77","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","300","55","8","2016","신항로276번길 6","202512~202612","신규","-","",""
"78","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","300","55","4","2016","신항로276번길 6","202512~202612","신규","-","",""
"79","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","30","300","55","6","2016","신항로276번길 6","202512~202612","신규","-","",""
"80","전남광주통합특별시 광산구 쌍암동","694-106","0694","0106","쌍암동 미르채 리버파크 오피스텔","월세","23.7400","202512","30","500","50","19","2021","월계로 235-8","202601~202701","신규","-","",""
"81","전남광주통합특별시 광산구 쌍암동","685-10","0685","0010","로얄오피스텔","월세","30.8100","202512","30","300","35","6","2003","임방울대로825번길 22-17","202601~202701","신규","-","",""
"82","전남광주통합특별시 광산구 쌍암동","694-74","0694","0074","윤진리안채","전세","29.9800","202512","30","7,400","0","8","2017","첨단강변로99번길 21","202603~202803","신규","-","",""
"83","전남광주통합특별시 무안군 삼향읍 남악리","1476","1476","0000","남악 유탑유블레스900","전세","28.2400","202512","30","4,500","0","2","2014","후광대로 330","202601~202801","신규","-","",""
"84","전남광주통합특별시 여수시 웅천동","1702-1","1702","0001","웅천자이더스위트","전세","149.1200","202512","30","50,000","0","33","2022","웅천남1로 8","202601~202801","신규","-","",""
"85","전남광주통합특별시 무안군 삼향읍 남악리","1445","1445","0000","(1445)","월세","25.7400","202512","30","400","35","3","2012","어진누리길 26-8","202601~202612","신규","-","",""
"86","전남광주통합특별시 광산구 송정동","845-10","0845","0010","송정역 한국아델리움 더 씨티","전세","49.2100","202512","30","15,000","0","6","2021","송정로15번길 27","202601~202801","신규","-","",""
"87","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","30","300","50","15","2014","시청로 97","202601~202701","신규","-","",""
"88","전남광주통합특별시 광산구 우산동","1589-3","1589","0003","우산동 한국아델리움 앤 중해마루힐","월세","52.5700","202512","30","700","65","11","2018","무진대로 278-11","202601~202701","신규","-","",""
"89","전남광주통합특별시 목포시 석현동","1170-23","1170","0023","스타팰리스(1170-23)","월세","34.5000","202512","30","300","37","4","2011","석현로 18-2","202601~202701","갱신","-","300","33"
"90","전남광주통합특별시 서구 치평동","1210-3","1210","0003","샌트럴시티오피스텔","월세","31.6100","202512","30","500","50","11","2016","시청로 77","202601~202701","신규","-","",""
"91","전남광주통합특별시 서구 치평동","1210-3","1210","0003","샌트럴시티오피스텔","월세","23.6800","202512","30","300","40","18","2016","시청로 77","202601~202701","신규","-","",""
"92","전남광주통합특별시 동구 수기동","92","0092","0000","아트시티 리버파크 모아미래도","전세","24.8500","202512","30","9,400","0","6","2021","천변우로 361-15","202601~202801","신규","-","",""
"93","전남광주통합특별시 여수시 덕충동","2035-2","2035","0002","신성오피스텔","전세","29.3900","202512","29","8,000","0","4","2019","덕충안길 90","202601~202801","신규","-","",""
"94","전남광주통합특별시 나주시 빛가람동","204-1","0204","0001","휴로스센트럴 오피스텔","월세","30.7700","202512","29","300","45","5","2020","상야3길 17","202601~202612","갱신","-","300","42"
"95","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","42","3","2015","상야3길 8","202512~202612","신규","-","",""
"96","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","29.1200","202512","29","300","40","12","2015","상야3길 8","202601~202612","신규","-","",""
"97","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","29","17,200","5","3","2021","첨단연신로 100","202512~202712","신규","-","",""
"98","전남광주통합특별시 동구 호남동","48","0048","0000","호남동 중우 아펠리스","전세","32.7500","202512","29","10,500","0","16","2021","천변우로 381","202601~202801","신규","-","",""
"99","전남광주통합특별시 목포시 석현동","1170-25","1170","0025","스타팰리스(1170-25)","월세","34.5000","202512","29","300","37","5","2011","옥암로186번길 13","202601~202701","신규","-","",""
"100","전남광주통합특별시 무안군 청계면 도림리","435-2","0435","0002","도림목포캠퍼스시티","월세","21.7900","202512","29","100","35","13","2019","도림길 74","202512~202612","신규","-","",""
"101","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","29","13,000","15","8","2021","첨단연신로 100","202601~202801","신규","-","",""
"102","전남광주통합특별시 동구 금동","19-3","0019","0003","문화전당역 오펠리움","월세","25.2100","202512","29","500","47","7","2022","문화전당로23번길 26","202512~202701","신규","-","",""
"103","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","29","100","55","6","2016","신항로276번길 6","202512~202602","신규","-","",""
"104","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","40","7","2015","상야3길 8","202601~202701","신규","-","",""
"105","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","40","7","2015","상야3길 8","202601~202606","신규","-","",""
"106","전남광주통합특별시 여수시 덕충동","2035-2","2035","0002","신성오피스텔","월세","31.1500","202512","29","300","45","7","2019","덕충안길 90","202601~202701","신규","-","",""
"107","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","40","3","2015","상야3길 8","202601~202612","신규","-","",""
"108","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","40","9","2015","상야3길 8","202601~202701","신규","-","",""
"109","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","29","300","40","6","2015","상야3길 8","202512~202612","신규","-","",""
"110","전남광주통합특별시 광산구 우산동","1576-5","1576","0005","에드가리움","전세","52.6800","202512","29","13,500","0","5","2017","무진대로 229","202601~202801","신규","-","",""
"111","전남광주통합특별시 서구 치평동","1210-3","1210","0003","샌트럴시티오피스텔","월세","26.8400","202512","29","500","55","7","2016","시청로 77","202512~202612","신규","-","",""
"112","전남광주통합특별시 광산구 쌍암동","694-106","0694","0106","쌍암동 미르채 리버파크 오피스텔","월세","29.0900","202512","29","10,000","15","7","2021","월계로 235-8","202601~202801","신규","-","",""
"113","전남광주통합특별시 광산구 쌍암동","694-106","0694","0106","쌍암동 미르채 리버파크 오피스텔","월세","23.7400","202512","29","500","50","9","2021","월계로 235-8","202602~202702","신규","-","",""
"114","전남광주통합특별시 광산구 쌍암동","694-99","0694","0099","상상포레스트","전세","66.5800","202512","29","17,500","0","14","2019","첨단강변로87번길 20","202601~202801","신규","-","",""
"115","전남광주통합특별시 광산구 쌍암동","676-2","0676","0002","에이엠시티센트럴파크","월세","39.4700","202512","29","1,000","50","5","2015","첨단중앙로182번길 50","202602~202802","신규","-","",""
"116","전남광주통합특별시 동구 서석동","70","0070","0000","고운 디아르떼 문화전당","전세","27.8000","202512","29","10,440","0","3","2025","문화전당로26번길 12","202602~202802","신규","-","",""
"117","전남광주통합특별시 여수시 학동","61-1","0061","0001","스위트엠 학동","전세","54.1700","202512","29","18,000","0","14","2020","도원로 233","202601~202801","신규","-","",""
"118","전남광주통합특별시 서구 화정동","23-37","0023","0037","유탑유블레스","월세","27.0800","202512","29","300","39","2","2013","내방로 349","202601~202606","신규","-","",""
"119","전남광주통합특별시 서구 치평동","1210-3","1210","0003","샌트럴시티오피스텔","월세","31.6100","202512","29","300","57","12","2016","시청로 77","202601~202612","신규","-","",""
"120","전남광주통합특별시 남구 진월동","568","0568","0000","(568)","월세","29.1200","202512","29","500","50","4","2023","효덕로 286","202602~202702","신규","-","",""
"121","전남광주통합특별시 북구 용봉동","1347-7","1347","0007","(1347-7)","월세","25.4900","202512","29","300","37","3","2017","비엔날레로 182-1","202512~202612","신규","-","",""
"122","전남광주통합특별시 북구 각화동","608","0608","0000","각화 센트럴파크 서희스타힐스","월세","68.6100","202512","29","2,000","70","7","2020","동문대로249번길 19","202601~202801","신규","-","",""
"123","전남광주통합특별시 북구 신용동","860","0860","0000","첨단2지구 대성베르힐","월세","49.1200","202512","29","13,000","15","4","2021","첨단연신로 100","202601~202801","신규","-","",""
"124","전남광주통합특별시 북구 각화동","594","0594","0000","힐스테이트 각화","월세","24.1300","202512","29","1,000","40","10","2018","군왕로 295","202512~202612","신규","-","",""
"125","전남광주통합특별시 동구 동명동","245-16","0245","0016","동명동 센트럴파크","월세","49.3200","202512","29","1,000","85","10","2020","중앙로 248","202512~202712","신규","-","",""
"126","전남광주통합특별시 남구 진월동","568","0568","0000","(568)","월세","29.1200","202512","29","500","50","3","2023","효덕로 286","202602~202702","신규","-","",""
"127","전남광주통합특별시 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.4800","202512","29","300","36","12","2015","그린로 379","202601~202701","신규","-","",""
"128","전남광주통합특별시 나주시 빛가람동","279-4","0279","0004","광주전남혁신도시 포레루체오피스텔","월세","26.4800","202512","29","300","38","7","2015","그린로 379","202601~202701","신규","-","",""
"129","전남광주통합특별시 나주시 빛가람동","334","0334","0000","스카이센트럴","전세","26.7700","202512","29","7,500","0","12","2022","문화로 184","202601~202801","신규","-","",""
"130","전남광주통합특별시 무안군 청계면 도림리","319","0319","0000","에벤에셀더스위트오피스텔","월세","24.2800","202512","29","150","40","10","2022","승달산길 24","202601~202701","신규","-","",""
"131","전남광주통합특별시 무안군 삼향읍 남악리","1476","1476","0000","남악 유탑유블레스900","전세","28.2400","202512","29","5,500","0","12","2014","후광대로 330","202601~202801","신규","-","",""
"132","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","29","300","40","10","2014","상야2길 7","202512~202612","신규","-","",""
"133","전남광주통합특별시 나주시 빛가람동","194-1","0194","0001","토담휴로스1차오피스텔","월세","28.5500","202512","29","300","37","6","2014","상야2길 16","202601~202612","신규","-","",""
"134","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","전세","28.4200","202512","29","5,800","0","6","2014","상야2길 7","202602~202702","갱신","-","5,800","0"
"135","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","29","300","45","7","2014","상야2길 7","202601~202702","신규","-","",""
"136","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","28","300","44","9","2016","신항로276번길 6","202512~202612","갱신","-","300","39"
"137","전남광주통합특별시 서구 농성동","417-18","0417","0018","골든힐스타워","월세","24.3800","202512","28","200","35","9","2015","죽봉대로78번길 10","202512~202612","신규","-","",""
"138","전남광주통합특별시 남구 봉선동","480","0480","0000","더플레이스 봉선","전세","55.5400","202512","28","15,500","0","9","2016","봉선로133번길 15","202602~202802","신규","-","",""
"139","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","28.4200","202512","28","300","40","5","2015","상야3길 8","202512~202612","신규","-","",""
"140","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","27","500","45","9","2014","시청로 97","202601~202701","신규","-","",""
"141","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","27","500","50","10","2014","시청로 97","202512~202612","신규","-","",""
"142","전남광주통합특별시 북구 임동","887","0887","0000","S-클래스 더 제니스","전세","27.6100","202512","27","6,500","0","3","2024","천변우로 227","202604~202804","신규","-","",""
"143","전남광주통합특별시 남구 진월동","571","0571","0000","(571)","월세","23.1200","202512","27","300","35","5","2016","효덕로 280-7","202512~202612","신규","-","",""
"144","전남광주통합특별시 남구 진월동","573-1","0573","0001","(573-1)","월세","23.4600","202512","27","300","37","5","2016","효덕로 280-8","202512~202612","신규","-","",""
"145","전남광주통합특별시 남구 진월동","568-8","0568","0008","주1동","월세","19.7300","202512","27","300","38","3","2020","효덕로 286-1","202512~202702","신규","-","",""
