"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","전남광주통합특별시 장성군 장성읍 영천리","1661","1661","0000","나빌래","전세","84.7600","202412","31","16,000","0","10","2013","제봉로 102","202504~202704","신규","-","","","아파트"
"12","전남광주통합특별시 나주시 금천면 석전리","619","0619","0000","빛가람코오롱하늘채","월세","84.8411","202412","31","2,000","90","15","2022","천석길 35","202501~202611","신규","-","","","아파트"
"13","전남광주통합특별시 광산구 송정동","859-7","0859","0007","현대디에코2차","전세","40.7356","202412","31","10,500","0","2","2016","송정로16번길 10","202501~202701","신규","-","","","아파트"
"14","전남광주통합특별시 광산구 송정동","859-3","0859","0003","현대디에코1차","월세","49.5064","202412","31","1,000","55","6","2016","송정로16번길 8","202501~202701","신규","-","","","아파트"
"15","전남광주통합특별시 광양시 광양읍 구산리","832-1","0832","0001","덕진광양의봄","월세","84.9941","202412","31","2,000","70","17","2013","서평1길 9","202502~202702","신규","-","","","아파트"
"16","전남광주통합특별시 곡성군 곡성읍 학정리","535-1","0535","0001","한양파크빌","전세","57.8170","202412","31","7,500","0","4","2004","삼인동길 21","202501~202701","신규","-","","","아파트"
"17","전남광주통합특별시 나주시 금천면 석전리","619","0619","0000","빛가람코오롱하늘채","전세","84.8411","202412","31","26,000","0","21","2022","천석길 35","202501~202701","신규","-","","","아파트"
"18","전남광주통합특별시 광산구 도산동","1314","1314","0000","우방아이유쉘","전세","59.5443","202412","31","18,000","0","12","2016","평동로1098번길 185","202501~202701","신규","-","","","아파트"
"19","전남광주통합특별시 영암군 삼호읍 용앙리","1736","1736","0000","용앙휴먼시아","월세","46.5600","202412","31","2,041","13","6","2009","삼호중앙로 214","202501~202612","갱신","-","1,947","13","아파트"
"20","전남광주통합특별시 영암군 삼호읍 용앙리","1742","1742","0000","영암삼호렉시안","전세","59.9917","202412","31","7,800","0","8","2014","대불주거로 55-30","202501~202701","신규","-","","","아파트"
"21","전남광주통합특별시 순천시 해룡면 상삼리","694","0694","0000","청솔2","전세","56.4000","202412","31","7,500","0","15","2001","대석길 98","202501~202701","신규","-","","","아파트"
"22","전남광주통합특별시 광산구 송정동","859-3","0859","0003","현대디에코1차","월세","49.5064","202412","31","1,000","55","6","2016","송정로16번길 8","202501~202701","신규","-","","","아파트"
"23","전남광주통합특별시 광산구 송정동","859-3","0859","0003","현대디에코1차","월세","49.5064","202412","31","1,000","55","6","2016","송정로16번길 8","202501~202701","신규","-","","","아파트"
"24","전남광주통합특별시 영암군 삼호읍 용앙리","1742","1742","0000","영암삼호렉시안","전세","63.3071","202412","31","7,800","0","11","2014","대불주거로 55-30","202411~202511","갱신","-","7,800","0","아파트"
"25","전남광주통합특별시 무안군 삼향읍 남악리","2270","2270","0000","남악상록","월세","59.9900","202412","31","8,975","7","11","2009","남악2로22번길 59","202501~202701","신규","-","","","아파트"
"26","전남광주통합특별시 광산구 소촌동","610","0610","0000","서라1","월세","59.9650","202412","31","500","55","15","1995","어등대로665번길 27","202502~202702","신규","-","","","아파트"
"27","전남광주통합특별시 영암군 삼호읍 용당리","2186","2186","0000","영암삼호고운라피네","전세","84.8988","202412","31","18,500","0","3","2023","신항로 120-177","202503~202703","갱신","-","18,500","0","아파트"
"28","전남광주통합특별시 무안군 일로읍 오룡리","6","0006","0000","호반써밋남악오룡3차","전세","84.9332","202412","31","25,000","0","14","2020","오룡번영로 185","-","-","-","","","아파트"
"29","전남광주통합특별시 영암군 삼호읍 용당리","2186","2186","0000","영암삼호고운라피네","전세","74.9131","202412","31","16,500","0","13","2023","신항로 120-177","202502~202702","신규","-","","","아파트"
"30","전남광주통합특별시 순천시 해룡면 복성리","694","0694","0000","순천복성지구한신더휴","전세","75.9809","202412","31","22,000","0","7","2022","순광로 234-8","202411~202701","갱신","사용","24,000","0","아파트"
"31","전남광주통합특별시 광양시 광양읍 칠성리","89-5","0089","0005","주공칠성2","월세","39.6300","202412","31","200","25","5","1988","호북길 25","202501~202701","신규","-","","","아파트"
"32","전남광주통합특별시 광양시 중동","1912","1912","0000","광양중마2차진아리채","월세","84.9909","202412","31","2,000","70","23","2017","중마1길 21","202501~202701","신규","-","","","아파트"
"33","전남광주통합특별시 광양시 중동","1665","1665","0000","성호2차(206~215동)","월세","59.7900","202412","31","500","55","6","2006","광장로 70","202501~202601","신규","-","","","아파트"
"34","전남광주통합특별시 광산구 우산동","1602-2","1602","0002","리버힐","전세","49.8600","202412","31","9,450","0","5","1992","우산로 47","202501~202701","신규","-","","","아파트"
"35","전남광주통합특별시 광산구 산월동","884-2","0884","0002","호반리젠시빌3","전세","72.5040","202412","31","23,000","0","5","2003","첨단중앙로68번길 134","202503~202703","신규","-","","","아파트"
"36","전남광주통합특별시 광양시 중동","1665","1665","0000","성호2차(201~205동)","전세","59.7900","202412","31","5,600","0","19","2003","광장로 70","202501~202701","신규","-","","","아파트"
"37","전남광주통합특별시 광산구 장덕동","1111","1111","0000","광주수완세영리첼","전세","84.6782","202412","31","33,000","0","8","2014","풍영로 294-23","202502~202702","신규","-","","","아파트"
"38","전남광주통합특별시 광양시 중동","1665","1665","0000","성호2차(206~215동)","월세","59.7900","202412","31","500","55","6","2006","광장로 70","-","-","-","","","아파트"
"39","전남광주통합특별시 광양시 중동","1665","1665","0000","성호2차(206~215동)","월세","59.7900","202412","31","300","35","16","2006","광장로 70","202412~202612","신규","-","","","아파트"
"40","전남광주통합특별시 광산구 운남동","387-22","0387","0022","삼성","월세","70.9700","202412","31","1,500","80","19","1996","임방울대로 142-12","202502~202802","신규","-","","","아파트"
"41","전남광주통합특별시 광양시 황금동","1129","1129","0000","더샵광양베이센트","월세","117.6292","202412","31","2,000","100","13","2024","황금1로 66","202412~202612","신규","-","","","아파트"
"42","전남광주통합특별시 광산구 우산동","1633","1633","0000","무진로진아리채리버뷰","월세","109.9340","202412","31","3,000","155","11","2022","풍영철길로 46","202501~202601","신규","-","","","아파트"
"43","전남광주통합특별시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","46.9000","202412","31","4,254","8","3","2009","하남대로261번길 11","202501~202612","갱신","-","0","7","아파트"
"44","전남광주통합특별시 광양시 중동","1354","1354","0000","동광2차(부영)","전세","50.1400","202412","31","3,840","0","6","1993","행정1길 9","202501~202601","갱신","-","3,840","0","아파트"
"45","전남광주통합특별시 광산구 쌍암동","694-115","0694","0115","한양에드가302동","월세","24.8708","202412","31","500","45","5","2013","월계로 223-17","202501~202601","신규","-","","","아파트"
"46","전남광주통합특별시 광산구 쌍암동","682-1","0682","0001","에이엠시티5차","월세","19.1284","202412","31","300","38","3","2013","임방울대로825번길 19","202501~202601","신규","-","","","아파트"
"47","전남광주통합특별시 광양시 중동","1354","1354","0000","동광2차(부영)","전세","50.1400","202412","31","3,315","0","10","1992","행정1길 9","-","-","-","","","아파트"
"48","전남광주통합특별시 광산구 우산동","1611-3","1611","0003","광주하남엘에이치천년나무","월세","36.0200","202412","31","4,598","7","10","2019","용아로 175-6","202412~202612","신규","-","","","아파트"
"49","전남광주통합특별시 광양시 중동","1416","1416","0000","남양파크","월세","59.8500","202412","31","300","35","5","1994","중마로 210","202501~202701","신규","-","","","아파트"
"50","전남광주통합특별시 광산구 운남동","387-22","0387","0022","삼성","월세","70.9700","202412","31","1,500","80","19","1996","임방울대로 142-12","202502~202802","신규","-","","","아파트"
"51","전남광주통합특별시 광산구 운남동","771-1","0771","0001","운남주공4단지","월세","49.6900","202412","31","2,000","60","1","1996","목련로273번안길 30","202501~202701","신규","-","","","아파트"
"52","전남광주통합특별시 광산구 장덕동","1098","1098","0000","고실마을휴먼시아8단지","월세","59.6400","202412","31","4,021","26","7","2010","풍영로330번길 15","202501~202612","갱신","-","3,840","24","아파트"
"53","전남광주통합특별시 광양시 중동","1815-1","1815","0001","광양산이고운마린파크","전세","81.0160","202412","31","21,900","0","21","2024","항만10로 30","202412~202612","신규","-","","","아파트"
"54","전남광주통합특별시 광산구 월계동","755-4","0755","0004","성원","전세","93.1800","202412","31","21,000","0","4","1997","첨단중앙로181번길 92","202501~202701","신규","-","","","아파트"
"55","전남광주통합특별시 광산구 월계동","893-1","0893","0001","무들에코클래스","월세","19.9836","202412","31","400","35","12","2014","임방울대로826번길 60-5","202501~202512","갱신","사용","400","35","아파트"
"56","전남광주통합특별시 광산구 산정동","1060","1060","0000","하남2지구중흥S-클래스","월세","84.9739","202412","31","5,000","70","8","2013","목련로21번길 20","202412~202612","신규","-","","","아파트"
"57","전남광주통합특별시 광산구 장덕동","1111","1111","0000","광주수완세영리첼","전세","84.6782","202412","31","33,000","0","8","2014","풍영로 294-23","202502~202702","신규","-","","","아파트"
"58","전남광주통합특별시 광산구 수완동","970","0970","0000","해솔마을대방노블랜드2차","월세","84.9382","202412","31","10,000","120","6","2011","임방울대로358번길 21","202504~202704","신규","-","","","아파트"
"59","전남광주통합특별시 북구 삼각동","753-10","0753","0010","삼각동서라","전세","59.9650","202412","31","11,500","0","10","1995","우치로347번길 15","-","-","-","","","아파트"
"60","전남광주통합특별시 목포시 대양동","75-12","0075","0012","근화희망타운2차","전세","39.8400","202412","31","4,320","0","9","2000","산양로 40","202501~202701","신규","-","","","아파트"
"61","전남광주통합특별시 북구 용두동","330","0330","0000","양산타운","월세","59.9400","202412","31","2,000","60","3","1998","하서로423번길 33","202501~202701","신규","-","","","아파트"
"62","전남광주통합특별시 북구 동림동","1326","1326","0000","광신프로그레스","월세","82.4321","202412","31","7,000","80","4","2017","동운로 130","202502~202702","신규","-","","","아파트"
"63","전남광주통합특별시 목포시 옥암동","1174","1174","0000","푸르지오","월세","84.9620","202412","31","2,000","70","17","2007","남악1로 51","-","-","-","","","아파트"
"64","전남광주통합특별시 목포시 옥암동","1244","1244","0000","주공2차휴먼시아","월세","33.5100","202412","31","1,165","10","1","2008","남악1로52번길 35-8","202412~202701","신규","-","","","아파트"
"65","전남광주통합특별시 목포시 옥암동","1027","1027","0000","부영3차","월세","49.7200","202412","31","4,750","5","5","1995","통일대로75번길 14","202501~202601","갱신","-","0","5","아파트"
"66","전남광주통합특별시 목포시 옥암동","1027","1027","0000","부영3차","전세","49.7200","202412","31","5,250","0","14","1995","통일대로75번길 14","202501~202601","갱신","-","5,250","0","아파트"
"67","전남광주통합특별시 북구 임동","634","0634","0000","서림마을다사로움2단지","월세","16.8045","202412","31","2,405","4","7","2021","자동차로 11-9","202412~202701","갱신","-","1,605","8","아파트"
"68","전남광주통합특별시 북구 용봉동","1461","1461","0000","용봉주공","월세","51.4900","202412","31","2,056","15","12","2004","매곡로 20","202501~202612","갱신","-","1,996","15","아파트"
"69","전남광주통합특별시 북구 용봉동","1461","1461","0000","용봉주공","월세","51.9500","202412","31","2,075","15","14","2004","매곡로 20","202501~202612","신규","-","","","아파트"
"70","전남광주통합특별시 북구 용봉동","1348-4","1348","0004","동성노블리","월세","17.3698","202412","31","300","35","2","2013","설죽로251번길 26-7","202412~202512","신규","-","","","아파트"
"71","전남광주통합특별시 북구 용봉동","850","0850","0000","신동아","월세","59.6500","202412","31","1,000","65","12","1998","비엔날레로 112-5","202501~202701","신규","-","","","아파트"
"72","전남광주통합특별시 북구 각화동","587","0587","0000","각화골드클래스","월세","39.9756","202412","31","6,700","11","1","2017","각화대로69번길 16","202501~202701","신규","-","","","아파트"
"73","전남광주통합특별시 북구 각화동","587","0587","0000","각화골드클래스","월세","39.9756","202412","31","6,700","11","1","2017","각화대로69번길 16","202501~202701","신규","-","","","아파트"
"74","전남광주통합특별시 북구 신안동","821","0821","0000","모아엘가더스카이","전세","84.3551","202412","31","24,697","0","27","2020","신임로32번길 35","202501~202608","신규","-","","","아파트"
"75","전남광주통합특별시 북구 신안동","822","0822","0000","신안국제미소래아파트","전세","59.5627","202412","31","17,220","0","8","2021","중흥로 121-1","202502~202702","신규","-","","","아파트"
"76","전남광주통합특별시 북구 신안동","163-1","0163","0001","신안대라수2차","전세","84.8430","202412","31","25,400","0","8","2021","자미로6번길 21","202412~202910","신규","-","","","아파트"
"77","전남광주통합특별시 북구 일곡동","849-2","0849","0002","청솔","월세","48.4500","202412","31","500","40","8","2000","일곡로 80","202501~202701","신규","-","","","아파트"
"78","전남광주통합특별시 북구 동림동","1326","1326","0000","광신프로그레스","월세","82.4321","202412","31","7,000","80","4","2017","동운로 130","202502~202702","신규","-","","","아파트"
"79","전남광주통합특별시 북구 문흥동","1011-5","1011","0005","문흥상록","전세","59.8020","202412","31","12,000","0","8","1997","문산로 20","202502~202702","신규","-","","","아파트"
"80","전남광주통합특별시 북구 신용동","667","0667","0000","광주첨단1휴먼시아","월세","46.7200","202412","31","2,724","15","10","2011","첨단연신로 250","202501~202612","신규","-","","","아파트"
"81","전남광주통합특별시 북구 신용동","647","0647","0000","신용주공","월세","46.2200","202412","31","1,911","11","11","2005","연양로7번길 58","202501~202612","갱신","-","1,824","10","아파트"
"82","전남광주통합특별시 북구 양산동","687","0687","0000","주공","월세","46.2200","202412","31","1,977","11","12","2004"," 57","202501~202612","갱신","-","1,920","11","아파트"
"83","전남광주통합특별시 북구 두암동","969-1","0969","0001","주공3","월세","49.7700","202412","31","800","33","5","1994","삼정로 50","202506~202705","신규","-","","","아파트"
"84","전남광주통합특별시 북구 동림동","1334","1334","0000","동림대광로제비앙","월세","74.0386","202412","31","3,000","95","10","2020","운암산길 48","202503~202703","신규","-","","","아파트"
"85","전남광주통합특별시 서구 동천동","506","0506","0000","동천센트럴파크","월세","75.9900","202412","31","10,093","15","15","2007","동천로 11","202501~202612","신규","-","","","아파트"
"86","전남광주통합특별시 서구 화정동","1709","1709","0000","광주화정동골드클래스주상복합","전세","84.9893","202412","31","34,500","0","19","2022","죽봉대로 17","202411~202611","신규","-","","","아파트"
"87","전남광주통합특별시 순천시 조례동","766","0766","0000","시대","월세","30.6980","202412","31","300","37","14","1992","비봉2길 22","202501~202601","신규","-","","","아파트"
"88","전남광주통합특별시 서구 마륵동","815","0815","0000","광주상무역골드클래스아파트","전세","111.7072","202412","31","50,000","0","4","2023","북촌길 31","202503~202803","신규","-","","","아파트"
"89","전남광주통합특별시 순천시 조례동","1612","1612","0000","부영5","전세","49.7200","202412","31","6,775","0","4","1995","장선배기길 77","202502~202602","갱신","-","6,604","0","아파트"
"90","전남광주통합특별시 순천시 조례동","766","0766","0000","시대","월세","37.3880","202412","31","500","45","13","1992","비봉2길 22","202501~202601","신규","-","","","아파트"
"91","전남광주통합특별시 순천시 조례동","766","0766","0000","시대","월세","37.3880","202412","31","500","45","4","1992","비봉2길 22","202501~202601","신규","-","","","아파트"
"92","전남광주통합특별시 순천시 조례동","168","0168","0000","트리마제순천1단지","전세","123.4417","202412","31","36,000","0","3","2024","왕조로 55","202502~202702","신규","-","","","아파트"
"93","전남광주통합특별시 순천시 조례동","168","0168","0000","트리마제순천1단지","월세","123.4417","202412","31","5,000","145","15","2024","왕조로 55","202502~202702","신규","-","","","아파트"
"94","전남광주통합특별시 서구 유촌동","871","0871","0000","상무버들마을주공2","월세","59.9700","202412","31","1,000","65","11","1999","상무버들로 15","202412~202612","신규","-","","","아파트"
"95","전남광주통합특별시 서구 유촌동","871","0871","0000","상무버들마을주공2","월세","59.9700","202412","31","1,000","65","11","1999","상무버들로 15","202412~202612","신규","-","","","아파트"
"96","전남광주통합특별시 순천시 매곡동","575","0575","0000","신매곡서한이다음1단지","월세","84.9970","202412","31","2,000","70","23","2020","삼산초등길 20","202502~202702","신규","-","","","아파트"
"97","전남광주통합특별시 순천시 조례동","1612","1612","0000","부영5","전세","49.7200","202412","31","6,775","0","12","1995","장선배기길 77","202501~202601","갱신","-","6,775","0","아파트"
"98","전남광주통합특별시 서구 치평동","1259-4","1259","0004","상무e-다움골드","월세","17.1728","202412","31","300","37","10","2014","시청로 7","202501~202601","신규","-","","","아파트"
"99","전남광주통합특별시 서구 쌍촌동","1228-1","1228","0001","빛고을파크","전세","50.1600","202412","31","11,500","0","12","1991","화정로 105","202502~202702","신규","-","","","아파트"
"100","전남광주통합특별시 서구 금호동","741-1","0741","0001","금호시영1단지","월세","49.8600","202412","31","1,000","50","14","1993","운천로 41","202502~202702","신규","-","","","아파트"
"101","전남광주통합특별시 서구 금호동","739-1","0739","0001","라인","전세","84.7280","202412","31","17,000","0","5","1993","금부로 100","202502~202702","신규","-","","","아파트"
"102","전남광주통합특별시 서구 금호동","739-1","0739","0001","라인","전세","84.7280","202412","31","17,000","0","5","1993","금부로 100","202501~202701","신규","-","","","아파트"
"103","전남광주통합특별시 순천시 용당동","764","0764","0000","e편한세상순천1단지","전세","110.9867","202412","31","36,000","0","7","2020","용당삼산로 29","202501~202701","신규","-","","","아파트"
"104","전남광주통합특별시 순천시 연향동","1384-3","1384","0003","부영1","전세","60.0000","202412","31","7,559","0","5","1992","연향1로 55","202501~202601","갱신","사용","7,559","0","아파트"
"105","전남광주통합특별시 순천시 연향동","1386","1386","0000","부영2","전세","60.0000","202412","31","7,786","0","2","1993","연향1로 62","202501~202601","신규","-","","","아파트"
"106","전남광주통합특별시 서구 풍암동","1132","1132","0000","우미광장","월세","33.7075","202412","31","500","40","15","2000","풍암순환로 183","202412~202512","신규","-","","","아파트"
"107","전남광주통합특별시 서구 동천동","515","0515","0000","동천 리버팰리스","월세","75.7200","202412","31","10,577","17","19","2008","동천로18번길 19","202501~202612","갱신","-","6,427","37","아파트"
"108","전남광주통합특별시 동구 계림동","1827","1827","0000","그랜드센트럴","월세","59.9083","202412","31","3,000","80","13","2020","경양로 234","202501~202701","신규","-","","","아파트"
"109","전남광주통합특별시 남구 백운동","705","0705","0000","코아루아팰리스힐","전세","71.3925","202412","31","27,000","0","11","2020","대남대로 284-16","202501~202701","신규","-","","","아파트"
"110","전남광주통합특별시 동구 수기동","43","0043","0000","아트리뷰스","전세","16.3799","202412","31","4,935","0","4","2016","독립로226번길 17","202502~202702","신규","-","","","아파트"
"111","전남광주통합특별시 남구 봉선동","1168","1168","0000","e편한세상봉선셀레스티지","전세","84.9995","202412","31","30,000","0","9","2024","대남대로159번길 24","202502~202702","신규","-","","","아파트"
"112","전남광주통합특별시 남구 봉선동","1085","1085","0000","봉선3차한국아델리움","전세","84.8150","202412","31","43,000","0","15","2014","제석로80번길 36","202501~202612","갱신","-","41,600","0","아파트"
"113","전남광주통합특별시 목포시 용해동","1042","1042","0000","골드디움5차","월세","70.8475","202412","31","11,720","16","5","2014","용해지구로88번길 23","202412~202509","신규","-","","","아파트"
"114","전남광주통합특별시 남구 임암동","730","0730","0000","효천1지구중흥에스클래스리버티","월세","59.6137","202412","31","8,290","22","5","2019","효천중앙로 21","202502~202702","신규","-","","","아파트"
"115","전남광주통합특별시 남구 봉선동","470","0470","0000","삼익1","월세","84.9600","202412","31","4,000","75","11","1990","봉선중앙로 46","202502~202702","신규","-","","","아파트"
"116","전남광주통합특별시 남구 봉선동","1043","1043","0000","모아2단지1차","전세","59.9200","202412","31","10,000","0","7","1988","봉선1로 86","202502~202702","신규","-","","","아파트"
"117","전남광주통합특별시 남구 봉선동","1043","1043","0000","모아2단지1차","전세","59.9200","202412","31","10,000","0","7","1988","봉선1로 86","202502~202702","신규","-","","","아파트"
"118","전남광주통합특별시 남구 봉선동","985","0985","0000","라인광장1","월세","59.9300","202412","31","500","50","11","1987","봉선중앙로 103","202501~202701","신규","-","","","아파트"
"119","전남광주통합특별시 남구 봉선동","502","0502","0000","라인","월세","84.7000","202412","31","1,000","80","5","1992","봉선로 91","202503~202703","신규","-","","","아파트"
"120","전남광주통합특별시 광양시 마동","1165-10","1165","0010","콤팩트시티","월세","19.3669","202412","31","200","42","5","2018","중마로 561","202501~202506","신규","-","","","아파트"
"121","전남광주통합특별시 남구 지석동","506","0506","0000","힐스테이트지석","월세","84.9892","202412","31","3,000","90","19","2024","포충로 631-8","202502~202702","신규","-","","","아파트"
"122","전남광주통합특별시 남구 노대동","827","0827","0000","송화레이크힐","월세","75.7700","202412","31","10,000","45","1","2007","노대실로 33","202501~202701","신규","-","","","아파트"
"123","전남광주통합특별시 목포시 용해동","1051","1051","0000","골드디움6차","월세","84.9243","202412","31","13,540","18","9","2014","용해지구로88번길 8","202412~202509","신규","-","","","아파트"
"124","전남광주통합특별시 광양시 마동","1171-1","1171","0001","스마트시티1차","월세","14.7985","202412","31","500","40","3","2023","눈소2길 51-11","202501~202601","신규","-","","","아파트"
"125","전남광주통합특별시 목포시 용해동","975","0975","0000","포미타운주공2단지","월세","51.8600","202412","31","2,016","11","8","2004","포미로 22","202501~202612","갱신","-","2,016","11","아파트"
"126","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.1300","202412","31","6,200","8","10","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"127","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.1300","202412","31","5,200","6","8","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"128","전남광주통합특별시 목포시 연산동","1260","1260","0000","연산주공4단지","월세","49.6200","202412","31","500","50","11","1996","원산중앙로 87","202501~202701","신규","-","","","아파트"
"129","전남광주통합특별시 목포시 연산동","1260","1260","0000","연산주공3단지","월세","59.9600","202412","31","500","55","12","1996","원산중앙로 87","202502~202701","신규","-","","","아파트"
"130","전남광주통합특별시 목포시 용당동","1133-1","1133","0001","용당프라자","전세","68.8500","202412","31","4,460","0","8","2006","산정로128번길 33","-","-","-","","","아파트"
"131","전남광주통합특별시 남구 임암동","730","0730","0000","효천1지구중흥에스클래스리버티","월세","59.6137","202412","31","8,290","22","5","2019","효천중앙로 21","202502~202702","신규","-","","","아파트"
"132","전남광주통합특별시 남구 임암동","731","0731","0000","광주효천1엘에이치3단지","월세","44.9700","202412","31","5,550","8","13","2020","효천중앙로 35","202411~202612","갱신","-","3,650","19","아파트"
"133","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.1300","202412","31","5,200","6","6","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"134","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.1300","202412","31","5,200","6","4","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"135","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.5200","202412","31","5,500","6","6","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"136","전남광주통합특별시 남구 임암동","731","0731","0000","광주효천1엘에이치3단지","월세","44.9700","202412","31","5,550","8","10","2020","효천중앙로 35","202412~202612","신규","-","","","아파트"
"137","전남광주통합특별시 동구 선교동","487","0487","0000","광주선교지구1차우방아이유쉘아파트","전세","59.9583","202412","31","24,300","0","6","2023","선교로 38-30","202502~202702","갱신","-","24,300","0","아파트"
"138","전남광주통합특별시 동구 선교동","487","0487","0000","광주선교지구1차우방아이유쉘아파트","전세","49.0667","202412","31","16,500","0","1","2023","선교로 38-30","202503~202703","갱신","-","16,500","0","아파트"
"139","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.5200","202412","31","5,500","6","8","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"140","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.5200","202412","31","5,500","6","7","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"141","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.1300","202412","31","5,200","6","6","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
"142","전남광주통합특별시 목포시 상동","872-1","0872","0001","펠리시티S","월세","26.5200","202412","31","6,500","8","10","2013","신흥로69번길 13","202412~202512","신규","-","","","아파트"
