"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"88","전남광주통합특별시 광양시 중동","1***","8m미만","28.00","월세","202412","30","200","35","","중마용소5길","202501~202601","신규","-","","","단독다가구"
"89","전남광주통합특별시 북구 양산동","8**","12m미만","39.00","월세","202412","29","200","25","2011","양산택지로33번길","202412~202503","신규","-","","","단독다가구"
"90","전남광주통합특별시 북구 신안동","4**","12m미만","35.00","월세","202412","29","300","55","2022","서암대로159번길","202501~202601","신규","-","","","단독다가구"
"91","전남광주통합특별시 서구 쌍촌동","9**","12m미만","22.81","월세","202412","29","300","57","2021","쌍촌로51번길","202412~202602","신규","-","","","단독다가구"
"92","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","28.00","월세","202412","29","400","40","2020","남악5로52번길","-","-","-","","","단독다가구"
"93","전남광주통합특별시 북구 양산동","8**","12m미만","84.00","전세","202412","29","9,000","0","2011","양산택지로37번길","202501~202701","신규","-","","","단독다가구"
"94","전남광주통합특별시 북구 용봉동","1***","8m미만","20.00","전세","202412","29","3,000","0","2000","용주로34번길","202501~202701","신규","-","","","단독다가구"
"95","전남광주통합특별시 광산구 흑석동","6**","8m미만","23.10","월세","202412","29","300","47","2021","고봉로58번길","202412~202512","신규","-","","","단독다가구"
"96","전남광주통합특별시 서구 화정동","3**","8m미만","32.00","월세","202412","29","300","45","2021","화정로179번길","202412~202612","갱신","-","300","45","단독다가구"
"97","전남광주통합특별시 서구 금호동","7**","12m미만","66.00","월세","202412","29","500","35","1994","운천로92번길","202412~202612","신규","-","","","단독다가구"
"98","전남광주통합특별시 서구 풍암동","1***","12m미만","30.00","월세","202412","29","200","25","2002","풍암신흥로62번길","202412~202512","신규","-","","","단독다가구"
"99","전남광주통합특별시 서구 화정동","1**","12m미만","28.40","월세","202412","29","200","35","2013","내방마을2길","202412~202512","신규","-","","","단독다가구"
"100","전남광주통합특별시 북구 용봉동","1***","8m미만","18.00","월세","202412","29","200","30","2017","용주로40번길","-","-","-","","","단독다가구"
"101","전남광주통합특별시 서구 쌍촌동","1***","12m미만","33.00","월세","202412","29","200","30","2004","상무오월로19번길","202412~202512","신규","-","","","단독다가구"
"102","전남광주통합특별시 서구 쌍촌동","9**","12m미만","26.40","월세","202412","29","100","33","2010","상무대로955번길","202412~202512","신규","-","","","단독다가구"
"103","전남광주통합특별시 남구 월산동","9**","12m미만","40.12","월세","202412","29","500","60","2013","금화로421번길","202412~202512","신규","-","","","단독다가구"
"104","전남광주통합특별시 광산구 장덕동","1***","12m미만","34.86","월세","202412","29","300","43","2017","장덕로50번길","202412~202512","신규","-","","","단독다가구"
"105","전남광주통합특별시 순천시 동외동","1**","12m미만","33.00","월세","202412","29","200","50","2013","도서관길","202412~202512","신규","-","","","단독다가구"
"106","전남광주통합특별시 여수시 선원동","1***","8m미만","27.00","월세","202412","29","200","50","","무선4길","202501~202512","신규","-","","","단독다가구"
"107","전남광주통합특별시 여수시 문수동","4**","8m미만","19.80","월세","202412","29","100","27","2011","문수7길","202412~202512","신규","-","","","단독다가구"
"108","전남광주통합특별시 순천시 가곡동","4**","8m미만","30.00","월세","202412","29","200","40","2017","안신기1길","202412~202507","갱신","-","200","37","단독다가구"
"109","전남광주통합특별시 여수시 화장동","8**","12m미만","43.00","월세","202412","28","300","55","2019","대통1길","202501~202601","신규","-","","","단독다가구"
"110","전남광주통합특별시 여수시 미평동","6**","25m이상","40.00","월세","202412","28","100","35","","미평9길","202412~202612","신규","-","","","단독다가구"
"111","전남광주통합특별시 나주시 송월동","1***","12m미만","18.00","월세","202412","28","200","35","2021","송월9길","202412~202512","신규","-","","","단독다가구"
"112","전남광주통합특별시 순천시 장천동","1**","12m미만","24.00","월세","202412","28","300","35","2012","중앙5길","202501~202701","신규","-","","","단독다가구"
"113","전남광주통합특별시 여수시 신기동","5*","12m미만","24.00","월세","202412","28","200","42","2016","신기북1길","202412~202612","신규","-","","","단독다가구"
"114","전남광주통합특별시 여수시 신기동","1*","12m미만","74.24","전세","202412","28","27,000","0","1986","신기북4길","202412~202812","신규","-","","","단독다가구"
"115","전남광주통합특별시 북구 용봉동","1***","8m미만","19.80","월세","202412","28","200","29","2010","설죽로196번길","202412~202512","신규","-","","","단독다가구"
"116","전남광주통합특별시 북구 용봉동","1***","8m미만","20.00","전세","202412","28","6,000","0","1997","호동로15번길","202502~202702","신규","-","","","단독다가구"
"117","전남광주통합특별시 해남군 해남읍 남외리","6*","12m미만","28.00","월세","202412","28","500","35","2012","서초길","-","-","-","","","단독다가구"
"118","전남광주통합특별시 영광군 영광읍 백학리","2*","8m미만","30.00","월세","202412","28","300","33","2011","현암길","202501~202512","신규","-","","","단독다가구"
"119","전남광주통합특별시 목포시 산정동","1***","12m미만","38.24","전세","202412","28","1,700","0","1993","산정로109번길","202412~203012","갱신","-","1,700","0","단독다가구"
"120","전남광주통합특별시 광산구 장덕동","1***","12m미만","24.00","월세","202412","28","300","38","2015","장덕로50번길","202501~202601","신규","-","","","단독다가구"
"121","전남광주통합특별시 남구 방림동","5**","8m미만","59.31","전세","202412","28","6,000","0","1990","용대로183번안길","202502~202702","신규","-","","","단독다가구"
"122","전남광주통합특별시 서구 농성동","6**","12m미만","25.33","월세","202412","28","200","30","2019","화정로309번길","202412~202512","신규","-","","","단독다가구"
"123","전남광주통합특별시 장성군 장성읍 영천리","1***","8m미만","30.00","월세","202412","28","200","35","2009","매화6길","202501~202601","신규","-","","","단독다가구"
"124","전남광주통합특별시 곡성군 곡성읍 학정리","6**","12m미만","25.41","월세","202412","28","500","40","2023","삼인동길","-","-","-","","","단독다가구"
"125","전남광주통합특별시 광산구 선암동","7**","12m미만","33.00","월세","202412","28","300","30","2012","선운로2번길","-","-","-","","","단독다가구"
"126","전남광주통합특별시 순천시 매곡동","4**","8m미만","23.14","월세","202412","28","100","35","2016","북정2길","202501~202601","신규","-","","","단독다가구"
"127","전남광주통합특별시 광산구 장덕동","1***","12m미만","28.47","월세","202412","28","200","30","","장신로20번길","202501~202601","신규","-","","","단독다가구"
"128","전남광주통합특별시 광산구 장덕동","1***","12m미만","18.00","월세","202412","28","200","35","2013","장덕로50번길","-","-","-","","","단독다가구"
"129","전남광주통합특별시 동구 학동","5**","8m미만","20.00","전세","202412","28","4,000","0","2003","필문대로329번길","202501~202601","신규","-","","","단독다가구"
"130","전남광주통합특별시 순천시 해룡면 신대리","2***","8m미만","22.97","월세","202412","28","300","57","2022","송산3길","202412~202612","신규","-","","","단독다가구"
"131","전남광주통합특별시 서구 화정동","3**","8m미만","21.62","월세","202412","28","300","42","","화정로179번길","202412~202612","신규","-","","","단독다가구"
"132","전남광주통합특별시 광양시 광양읍 덕례리","1***","12m미만","30.08","월세","202412","28","200","40","2022","예구7길","202501~202601","신규","-","","","단독다가구"
"133","전남광주통합특별시 광산구 수완동","1***","25m미만","30.00","월세","202412","28","200","40","2011","수완로50번길","-","-","-","","","단독다가구"
"134","전남광주통합특별시 동구 서석동","4**","8m미만","22.00","월세","202412","28","200","38","2009","필문대로295번길","202501~202601","신규","-","","","단독다가구"
"135","전남광주통합특별시 동구 소태동","4**","8m미만","158.01","전세","202412","28","8,000","0","1978","학소로","202501~202701","신규","-","","","단독다가구"
"136","전남광주통합특별시 광산구 연산동","1***","12m미만","22.14","월세","202412","28","200","40","2022","평동산단7번로","202501~202601","신규","-","","","단독다가구"
"137","전남광주통합특별시 광양시 광양읍 칠성리","9**","12m미만","28.00","월세","202412","28","100","30","2014","서북로","202501~202512","신규","-","","","단독다가구"
"138","전남광주통합특별시 북구 양산동","8**","12m미만","33.00","월세","202412","28","200","30","2014","양산택지로37번길","202412~202512","신규","-","","","단독다가구"
"139","전남광주통합특별시 무안군 무안읍 성남리","8**","8m미만","21.70","월세","202412","28","300","40","2018","무안로","202501~202601","신규","-","","","단독다가구"
"140","전남광주통합특별시 북구 용봉동","1**","12m미만","32.00","월세","202412","28","200","30","2017","우치로126번길","-","-","-","","","단독다가구"
"141","전남광주통합특별시 동구 지산동","4**","8m미만","25.00","월세","202412","28","300","40","","필문대로253번길","202412~202512","신규","-","","","단독다가구"
"142","전남광주통합특별시 북구 일곡동","9**","12m미만","99.36","월세","202412","28","3,000","60","2018","일곡로","202503~202703","신규","-","","","단독다가구"
"143","전남광주통합특별시 서구 쌍촌동","9**","12m미만","20.00","월세","202412","28","500","35","2016","운천로204번길","202412~202512","신규","-","","","단독다가구"
"144","전남광주통합특별시 북구 두암동","3**","8m미만","17.70","월세","202412","28","200","40","2022","참판로","202502~202602","신규","-","","","단독다가구"
"145","전남광주통합특별시 광산구 장덕동","1***","12m미만","32.64","월세","202412","27","300","29","2012","풍영로229번안길","-","-","-","","","단독다가구"
"146","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","33.00","월세","202412","27","300","52","2016","송산4길","202412~202602","신규","-","","","단독다가구"
"147","전남광주통합특별시 무안군 무안읍 성남리","3**","8m미만","33.08","전세","202412","27","7,300","0","2017","만창길","202501~202701","신규","-","","","단독다가구"
"148","전남광주통합특별시 광산구 흑석동","6**","25m미만","27.41","월세","202412","27","5,000","25","2022","마항길","202501~202601","신규","-","","","단독다가구"
"149","전남광주통합특별시 광산구 흑석동","6**","25m미만","29.95","월세","202412","27","300","70","2022","마항길","202412~202503","신규","-","","","단독다가구"
"150","전남광주통합특별시 광산구 장덕동","1***","12m미만","20.00","월세","202412","27","300","29","2012","풍영로229번안길","-","-","-","","","단독다가구"
"151","전남광주통합특별시 광산구 장덕동","1***","12m미만","21.00","월세","202412","27","200","36","2014","장덕로50번길","202412~202512","신규","-","","","단독다가구"
"152","전남광주통합특별시 광산구 장덕동","1***","12m미만","21.00","월세","202412","27","200","36","2014","장덕로50번길","202412~202612","신규","-","","","단독다가구"
"153","전남광주통합특별시 서구 쌍촌동","9**","12m미만","24.75","월세","202412","27","300","50","2021","쌍촌로65번길","202412~202512","신규","-","","","단독다가구"
"154","전남광주통합특별시 서구 쌍촌동","8**","12m미만","19.76","월세","202412","27","300","53","2024","금호운천길","202501~202601","신규","-","","","단독다가구"
"155","전남광주통합특별시 광산구 장덕동","1***","12m미만","25.00","월세","202412","27","300","33","2013","장덕로39번길","202501~202601","신규","-","","","단독다가구"
"156","전남광주통합특별시 광산구 장덕동","1***","12m미만","20.80","월세","202412","27","300","29","2012","풍영로229번안길","202412~202512","신규","-","","","단독다가구"
"157","전남광주통합특별시 동구 산수동","5**","8m미만","129.91","전세","202412","27","6,000","0","","필문대로106번길","202412~202612","갱신","사용","6,000","0","단독다가구"
"158","전남광주통합특별시 목포시 옥암동","1***","12m미만","30.45","월세","202412","27","500","40","2022","후광대로143번안길","202412~202512","신규","-","","","단독다가구"
"159","전남광주통합특별시 강진군 강진읍 남성리","5*","12m미만","24.00","전세","202412","27","5,000","0","","중앙로","202501~202601","신규","-","","","단독다가구"
"160","전남광주통합특별시 북구 중흥동","3**","8m미만","117.00","전세","202412","27","2,500","0","1979","용봉로126번길","202412~202612","신규","-","","","단독다가구"
"161","전남광주통합특별시 남구 백운동","5**","12m미만","25.00","월세","202412","27","300","37","2017","독립로10번길","202501~202512","신규","-","","","단독다가구"
"162","전남광주통합특별시 신안군 지도읍 읍내리","8**","12m미만","225.04","전세","202412","27","3,000","0","2007","지도증도로","202412~202612","신규","-","","","단독다가구"
"163","전남광주통합특별시 남구 송하동","4**","8m미만","39.60","월세","202412","27","200","47","2018","입하1길","202412~202512","신규","-","","","단독다가구"
"164","전남광주통합특별시 곡성군 곡성읍 읍내리","4**","8m미만","142.84","월세","202412","27","500","40","1995","읍내13길","202412~202612","신규","-","","","단독다가구"
"165","전남광주통합특별시 북구 신안동","4**","12m미만","42.00","월세","202412","27","200","30","2011","자미로39번길","-","-","-","","","단독다가구"
"166","전남광주통합특별시 광양시 중동","1***","12m미만","40.00","월세","202412","27","200","40","2010","중촌길","202501~202601","신규","-","","","단독다가구"
"167","전남광주통합특별시 광양시 중동","1***","8m미만","30.00","월세","202412","27","200","30","2010","중동2길","-","-","-","","","단독다가구"
"168","전남광주통합특별시 서구 덕흥동","4**","8m미만","28.72","월세","202412","27","300","35","2022","덕흥1길","202412~202512","신규","-","","","단독다가구"
"169","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","45.00","월세","202412","27","500","43","2011","남악5로52번길","202502~202602","신규","-","","","단독다가구"
