"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","전남광주통합특별시 무안군 청계면 도림리","2**","8m미만","30.00","월세","202512","31","30","32","2015","승달산길","202601~202701","신규","-","","","단독다가구"
"12","전남광주통합특별시 광산구 신창동","1***","12m미만","32.56","월세","202512","31","200","30","2012","신창로106번길","202512~202612","신규","-","","","단독다가구"
"13","전남광주통합특별시 북구 양산동","9**","12m미만","38.00","월세","202512","31","1,000","45","2016","연양로67번길","202512~202612","신규","-","","","단독다가구"
"14","전남광주통합특별시 서구 농성동","6**","12m미만","47.52","월세","202512","31","9,000","15","1973","월산로165번길","202601~202801","신규","-","","","단독다가구"
"15","전남광주통합특별시 무안군 청계면 도림리","2**","8m미만","26.40","월세","202512","31","30","26","2008","승달산길","202601~202612","신규","-","","","단독다가구"
"16","전남광주통합특별시 광산구 산정동","1***","8m미만","49.58","월세","202512","31","100","50","2014","용아로297번길","202601~202612","신규","-","","","단독다가구"
"17","전남광주통합특별시 무안군 청계면 도림리","4**","8m미만","23.00","월세","202512","31","30","29","2012","도림길","202512~202612","신규","-","","","단독다가구"
"18","전남광주통합특별시 무안군 청계면 도림리","3**","8m미만","26.40","월세","202512","31","30","36","2018","도림길","202601~202612","신규","-","","","단독다가구"
"19","전남광주통합특별시 북구 문흥동","9**","12m미만","39.00","전세","202512","31","4,000","0","2007","서하로355번길","202601~202801","갱신","-","4,000","0","단독다가구"
"20","전남광주통합특별시 광산구 수완동","1***","12m미만","66.00","월세","202512","31","500","65","2012","수완로11번안길","202512~202712","신규","-","","","단독다가구"
"21","전남광주통합특별시 순천시 해룡면 상삼리","6**","25m미만","60.00","월세","202512","31","500","35","1995","조례못등길","202601~202801","신규","-","","","단독다가구"
"22","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","33.71","월세","202512","31","300","55","","송산4길","202512~202605","갱신","-","300","55","단독다가구"
"23","전남광주통합특별시 광산구 흑석동","5**","12m미만","29.75","월세","202512","31","200","45","2016","풍영로101번안길","202512~202612","신규","-","","","단독다가구"
"24","전남광주통합특별시 광산구 장덕동","1***","12m미만","32.64","월세","202512","31","300","29","2012","풍영로229번안길","202601~202701","신규","-","","","단독다가구"
"25","전남광주통합특별시 광양시 중동","1***","12m미만","106.20","전세","202512","31","20,000","0","2020","중마용소1길","202512~202712","신규","-","","","단독다가구"
"26","전남광주통합특별시 광산구 신촌동","1***","8m미만","128.48","월세","202512","31","1,000","40","1991","신흥동안길","202601~202801","신규","-","","","단독다가구"
"27","전남광주통합특별시 장성군 남면 삼태리","8**","12m미만","26.26","월세","202512","31","300","54","2024","나노산단1로","202601~202701","신규","-","","","단독다가구"
"28","전남광주통합특별시 광산구 장덕동","1***","12m미만","24.00","월세","202512","31","200","30","2014","장신로19번안길","-","-","-","","","단독다가구"
"29","전남광주통합특별시 광산구 선암동","6**","12m미만","100.00","월세","202512","31","600","90","2014","선운로2번길","202512~202612","신규","-","","","단독다가구"
"30","전남광주통합특별시 동구 서석동","2*","8m미만","20.65","월세","202512","31","500","72","2022","백서로189번길","202601~202701","신규","-","","","단독다가구"
"31","전남광주통합특별시 광산구 신가동","1***","12m미만","25.49","월세","202512","31","200","25","2011","신창로33번길","202512~202612","신규","-","","","단독다가구"
"32","전남광주통합특별시 순천시 해룡면 신대리","2***","25m미만","50.00","월세","202512","31","500","70","2017","송산2길","202601~202701","신규","-","","","단독다가구"
"33","전남광주통합특별시 동구 동명동","1*","8m미만","39.67","월세","202512","31","200","33","2007","필문대로","202601~202612","신규","-","","","단독다가구"
"34","전남광주통합특별시 서구 농성동","6**","12m미만","15.00","전세","202512","31","6,000","0","2020","화정로271번길","-","-","-","","","단독다가구"
"35","전남광주통합특별시 광산구 하남동","5**","12m미만","39.00","월세","202512","31","300","55","2012","하남대로54번안길","202512~202612","신규","-","","","단독다가구"
"36","전남광주통합특별시 광산구 하남동","1***","12m미만","25.44","월세","202512","31","300","40","","고봉로114번길","202512~202612","신규","-","","","단독다가구"
"37","전남광주통합특별시 화순군 화순읍 만연리","8*","8m미만","35.00","월세","202512","31","300","50","2015","천변좌길","-","-","-","","","단독다가구"
"38","전남광주통합특별시 동구 지산동","5**","8m미만","26.60","월세","202512","31","300","51","","필문대로273번길","202602~202702","신규","-","","","단독다가구"
"39","전남광주통합특별시 목포시 옥암동","1***","12m미만","35.51","월세","202512","31","300","40","2020","당가두로38번길","202512~202612","신규","-","","","단독다가구"
"40","전남광주통합특별시 광양시 광양읍 덕례리","1***","8m미만","27.00","월세","202512","31","100","30","2011","예구2길","202601~202701","신규","-","","","단독다가구"
"41","전남광주통합특별시 남구 백운동","6**","8m미만","241.74","월세","202512","31","300","25","1995","진다리로13번길","202601~202801","신규","-","","","단독다가구"
"42","전남광주통합특별시 장흥군 장흥읍 건산리","3**","12m미만","36.00","월세","202512","31","500","45","1994","건산로","202512~202612","신규","-","","","단독다가구"
"43","전남광주통합특별시 서구 쌍촌동","5**","12m미만","29.75","월세","202512","31","300","39","2018","운천로162번길","202601~202701","신규","-","","","단독다가구"
"44","전남광주통합특별시 서구 쌍촌동","9**","8m미만","21.21","월세","202512","31","300","50","2021","상무대로967번길","202512~202612","신규","-","","","단독다가구"
"45","전남광주통합특별시 나주시 빛가람동","8*","12m미만","33.25","월세","202512","31","500","48","2016","쌍산3길","202601~202612","갱신","-","300","55","단독다가구"
"46","전남광주통합특별시 서구 치평동","1***","12m미만","45.00","월세","202512","31","500","60","2021","시청서편로4번길","202512~202604","신규","-","","","단독다가구"
"47","전남광주통합특별시 순천시 매곡동","4**","12m미만","28.00","월세","202512","31","100","30","2003","북정4길","202601~202612","신규","-","","","단독다가구"
"48","전남광주통합특별시 순천시 매곡동","3**","12m미만","28.00","월세","202512","31","100","35","","북정3길","202602~202701","신규","-","","","단독다가구"
"49","전남광주통합특별시 서구 화정동","7*","12m미만","229.17","월세","202512","31","200","28","2006","내방로350번길","202512~202612","신규","-","","","단독다가구"
"50","전남광주통합특별시 순천시 매곡동","4**","8m미만","33.00","월세","202512","31","200","32","2016","북정2길","202602~202702","신규","-","","","단독다가구"
"51","전남광주통합특별시 순천시 매곡동","4*","12m미만","33.00","월세","202512","31","300","50","2019","매곡길","202601~202701","신규","-","","","단독다가구"
"52","전남광주통합특별시 순천시 석현동","2**","12m미만","30.00","월세","202512","31","200","29","2012","오리정2길","202512~202702","신규","-","","","단독다가구"
"53","전남광주통합특별시 순천시 오천동","9**","12m미만","75.00","월세","202512","30","1,000","61","2017","오천2길","202601~202701","신규","-","","","단독다가구"
"54","전남광주통합특별시 서구 내방동","8**","12m미만","30.54","월세","202512","30","300","31","2018","월드컵4강로182번길","202512~202612","신규","-","","","단독다가구"
"55","전남광주통합특별시 순천시 조례동","9**","8m미만","29.88","월세","202512","30","300","47","","조례신대앞길","202512~202612","신규","-","","","단독다가구"
"56","전남광주통합특별시 서구 쌍촌동","9**","25m이상","28.40","월세","202512","30","200","45","2018","월드컵4강로197번길","202601~202612","신규","-","","","단독다가구"
"57","전남광주통합특별시 서구 쌍촌동","1***","12m미만","22.34","전세","202512","30","12,000","0","2021","운천로184번길","202601~202801","신규","-","","","단독다가구"
"58","전남광주통합특별시 서구 쌍촌동","1***","25m미만","80.92","월세","202512","30","1,000","70","2007","상일로","202512~202712","신규","-","","","단독다가구"
"59","전남광주통합특별시 서구 쌍촌동","9**","8m미만","28.49","월세","202512","30","100","35","2010","상무대로876번길","202512~202612","신규","-","","","단독다가구"
"60","전남광주통합특별시 서구 화정동","1**","12m미만","17.60","월세","202512","30","300","47","2021","내방로350번길","202512~202612","신규","-","","","단독다가구"
"61","전남광주통합특별시 여수시 관문동","5**","12m미만","99.27","전세","202512","30","6,000","0","1996","관문4길","202601~202801","신규","-","","","단독다가구"
"62","전남광주통합특별시 순천시 매곡동","3**","12m미만","23.14","월세","202512","30","100","30","2011","북정3길","202512~202612","신규","-","","","단독다가구"
"63","전남광주통합특별시 순천시 매곡동","3**","25m미만","28.00","월세","202512","30","200","45","1989","매산큰길","202512~202612","신규","-","","","단독다가구"
"64","전남광주통합특별시 서구 쌍촌동","1***","12m미만","30.00","월세","202512","30","200","37","2005","상무민주로32번길","202512~202612","신규","-","","","단독다가구"
"65","전남광주통합특별시 나주시 빛가람동","5*","25m미만","63.84","월세","202512","30","500","60","2021","쌍산2길","202601~202701","신규","-","","","단독다가구"
"66","전남광주통합특별시 여수시 미평동","3**","12m미만","30.00","월세","202512","30","200","38","2019","미평4길","202612~202712","갱신","-","200","38","단독다가구"
"67","전남광주통합특별시 여수시 미평동","7**","8m미만","98.68","월세","202512","30","500","50","2009","양지2길","202601~202801","신규","-","","","단독다가구"
"68","전남광주통합특별시 북구 신안동","4**","8m미만","23.86","월세","202512","30","100","28","2010","설죽로126번길","202512~202612","신규","-","","","단독다가구"
"69","전남광주통합특별시 광양시 광양읍 덕례리","1***","8m미만","36.00","월세","202512","30","150","37","2015","회암길","202601~202612","신규","-","","","단독다가구"
"70","전남광주통합특별시 북구 양산동","1***","12m미만","20.00","전세","202512","30","6,000","0","2017","연양로105번길","202601~202801","신규","-","","","단독다가구"
"71","전남광주통합특별시 북구 운암동","9**","12m미만","19.00","월세","202512","30","200","30","2011","서강로66번길","202512~202612","신규","-","","","단독다가구"
"72","전남광주통합특별시 동구 동명동","1**","8m미만","30.00","월세","202512","30","300","45","2021","필문대로263번길","202601~202701","신규","-","","","단독다가구"
"73","전남광주통합특별시 북구 오치동","9**","8m미만","33.00","전세","202512","30","2,000","0","2011","안산로","202601~202712","신규","-","","","단독다가구"
"74","전남광주통합특별시 강진군 강진읍 서성리","*","12m미만","50.00","월세","202512","30","200","45","2010","서성4길","202601~202701","신규","-","","","단독다가구"
"75","전남광주통합특별시 남구 송하동","4**","8m미만","20.74","월세","202512","30","300","37","2020","입하1길","202512~202612","신규","-","","","단독다가구"
"76","전남광주통합특별시 남구 임암동","7**","12m미만","17.48","월세","202512","30","300","48","2021","효천안길","202512~202612","신규","-","","","단독다가구"
"77","전남광주통합특별시 남구 행암동","6**","12m미만","26.52","월세","202512","30","300","43","2016","효우로230번길","202512~202612","신규","-","","","단독다가구"
"78","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","22.00","월세","202512","30","200","35","2015","매안5길","202601~202701","신규","-","","","단독다가구"
"79","전남광주통합특별시 광산구 월계동","7**","12m미만","30.54","월세","202512","30","300","29","2013","첨단내촌로70번길","202512~202612","신규","-","","","단독다가구"
"80","전남광주통합특별시 순천시 해룡면 신대리","2***","25m미만","28.00","월세","202512","30","200","35","2017","송산2길","202601~202701","갱신","-","200","35","단독다가구"
"81","전남광주통합특별시 강진군 강진읍 동성리","2**","12m미만","27.00","월세","202512","30","500","45","2022","중앙로","-","-","-","","","단독다가구"
"82","전남광주통합특별시 광산구 월계동","7**","12m미만","54.00","월세","202512","30","500","38","1998","첨단내촌로57번길","202601~202801","신규","-","","","단독다가구"
"83","전남광주통합특별시 북구 용봉동","6**","8m미만","26.90","월세","202512","30","200","30","2017","설죽로","202601~202701","신규","-","","","단독다가구"
"84","전남광주통합특별시 북구 용봉동","6**","8m미만","23.10","월세","202512","30","200","45","2017","설죽로148번길","202601~202701","신규","-","","","단독다가구"
"85","전남광주통합특별시 북구 용봉동","1***","8m미만","20.00","전세","202512","30","6,000","0","2018","용주로40번길","202512~202712","신규","-","","","단독다가구"
"86","전남광주통합특별시 북구 용봉동","1***","8m미만","15.30","월세","202512","30","200","30","2020","용주로40번길","202601~202701","신규","-","","","단독다가구"
"87","전남광주통합특별시 북구 용봉동","1**","12m미만","15.00","월세","202512","30","200","38","2011","우치로126번길","202601~202701","신규","-","","","단독다가구"
"88","전남광주통합특별시 광산구 수완동","1***","25m미만","34.50","월세","202512","30","300","40","2013","수완로50번길","202601~202701","신규","-","","","단독다가구"
"89","전남광주통합특별시 동구 지산동","5**","8m미만","27.00","월세","202512","30","200","29","2010","필문대로289번길","-","-","-","","","단독다가구"
"90","전남광주통합특별시 동구 지산동","5**","8m미만","20.00","월세","202512","30","200","40","1994","필문대로287번길","202601~202701","신규","-","","","단독다가구"
"91","전남광주통합특별시 동구 남동","8*","8m미만","27.00","월세","202512","30","300","30","2007","제봉로","-","-","-","","","단독다가구"
"92","전남광주통합특별시 북구 두암동","8**","12m미만","23.14","월세","202512","30","200","29","2014","서방로","202512~202612","신규","-","","","단독다가구"
"93","전남광주통합특별시 남구 월산동","3*","25m미만","40.00","월세","202512","30","200","47","2018","구성로78번길","202512~202612","신규","-","","","단독다가구"
"94","전남광주통합특별시 광산구 하남동","1***","25m미만","25.16","월세","202512","30","300","58","2023","마항길","202512~202712","신규","-","","","단독다가구"
"95","전남광주통합특별시 장흥군 장흥읍 원도리","3**","12m미만","23.14","월세","202512","30","300","38","","문림로","202601~202701","신규","-","","","단독다가구"
"96","전남광주통합특별시 광산구 신가동","9**","12m미만","22.08","월세","202512","30","200","30","2019","목련로397번안길","202512~202612","신규","-","","","단독다가구"
"97","전남광주통합특별시 광산구 신가동","1***","12m미만","38.00","월세","202512","30","200","40","2007","목련로394번길","202601~202612","신규","-","","","단독다가구"
"98","전남광주통합특별시 광산구 신가동","1***","12m미만","45.63","월세","202512","30","0","30","2012","신창로35번길","202512~202712","신규","-","","","단독다가구"
"99","전남광주통합특별시 북구 신안동","4**","12m미만","40.00","월세","202512","30","300","46","2011","설죽로126번길","202601~202701","신규","-","","","단독다가구"
"100","전남광주통합특별시 동구 운림동","6**","12m미만","23.00","월세","202512","30","300","30","2016","의재로136번길","202601~202701","신규","-","","","단독다가구"
"101","전남광주통합특별시 광산구 선암동","5**","12m미만","36.36","월세","202512","30","300","35","2015","선운중앙로67번길","202601~202701","신규","-","","","단독다가구"
"102","전남광주통합특별시 북구 신용동","8**","12m미만","33.00","월세","202512","30","300","45","2014","첨단연신로108번길","202601~202701","신규","-","","","단독다가구"
"103","전남광주통합특별시 북구 신용동","8**","12m미만","30.00","월세","202512","30","200","46","2013","첨단연신로108번길","202601~202701","신규","-","","","단독다가구"
"104","전남광주통합특별시 북구 문흥동","7**","8m미만","19.50","월세","202512","30","200","40","2022","호동로73번길","202601~202701","신규","-","","","단독다가구"
"105","전남광주통합특별시 북구 중흥동","2**","12m미만","226.44","월세","202512","30","100","30","2018","호동로34번길","202512~202612","신규","-","","","단독다가구"
"106","전남광주통합특별시 목포시 산정동","1***","12m미만","151.00","월세","202512","30","500","40","1987","산정로97번길","202512~202712","신규","-","","","단독다가구"
"107","전남광주통합특별시 무안군 청계면 도림리","5**","8m미만","27.80","월세","202512","30","200","33","","도림길","202512~202612","신규","-","","","단독다가구"
"108","전남광주통합특별시 광산구 신창동","1***","12m미만","34.54","월세","202512","30","300","45","2009","신창로48번길","202512~202612","신규","-","","","단독다가구"
"109","전남광주통합특별시 광산구 신창동","1***","12m미만","40.00","월세","202512","30","300","50","2010","신창로162번길","202601~202701","신규","-","","","단독다가구"
"110","전남광주통합특별시 목포시 옥암동","1***","25m미만","58.99","월세","202512","29","1,000","60","2019","후광대로105번안길","202601~202701","신규","-","","","단독다가구"
"111","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","29.90","월세","202512","29","300","44","2022","매안5길","202601~202701","신규","-","","","단독다가구"
"112","전남광주통합특별시 광산구 오선동","6**","12m미만","23.95","월세","202512","29","200","33","2020","진곡산단2번로","202601~202612","신규","-","","","단독다가구"
"113","전남광주통합특별시 광산구 흑석동","6**","25m미만","29.31","월세","202512","29","300","55","2022","마항길","202601~202701","신규","-","","","단독다가구"
"114","전남광주통합특별시 순천시 해룡면 상삼리","6**","12m미만","30.00","월세","202512","29","100","30","2011","조례못등3길","202512~202712","신규","-","","","단독다가구"
"115","전남광주통합특별시 순천시 해룡면 상삼리","6**","25m미만","42.90","월세","202512","29","100","34","1996","조례못등길","202512~202612","신규","-","","","단독다가구"
"116","전남광주통합특별시 서구 농성동","6**","8m미만","70.52","월세","202512","29","500","30","1984","군분로193번길","202512~202712","신규","-","","","단독다가구"
"117","전남광주통합특별시 북구 양산동","1***","12m미만","49.00","월세","202512","29","500","48","","연양로105번길","202512~202612","신규","-","","","단독다가구"
"118","전남광주통합특별시 북구 양산동","6**","12m미만","30.00","월세","202512","29","300","43","2018","상촌로43번길","202512~202612","신규","-","","","단독다가구"
"119","전남광주통합특별시 동구 지산동","4**","8m미만","25.00","월세","202512","29","300","41","2020","필문대로253번길","202512~202612","신규","-","","","단독다가구"
"120","전남광주통합특별시 무안군 청계면 도림리","4**","12m미만","30.00","월세","202512","29","30","29","2012","도림길","202512~202612","신규","-","","","단독다가구"
"121","전남광주통합특별시 장흥군 장흥읍 건산리","6**","8m미만","26.40","월세","202512","29","500","30","2017","동교로","202512~202612","신규","-","","","단독다가구"
"122","전남광주통합특별시 동구 지산동","4**","8m미만","20.00","월세","202512","29","200","38","2003","지산로57번길","202601~202701","신규","-","","","단독다가구"
"123","전남광주통합특별시 북구 용봉동","6**","8m미만","23.00","월세","202512","29","200","38","2018","설죽로148번길","202512~202612","신규","-","","","단독다가구"
"124","전남광주통합특별시 무안군 청계면 도림리","4**","12m미만","26.40","월세","202512","29","30","30","2018","도림길","202602~202612","신규","-","","","단독다가구"
"125","전남광주통합특별시 북구 용봉동","1**","12m미만","20.00","월세","202512","29","200","30","2012","우치로","-","-","-","","","단독다가구"
"126","전남광주통합특별시 남구 백운동","6**","8m미만","30.00","월세","202512","29","300","52","2023","진다리로6번나길","202512~202612","신규","-","","","단독다가구"
"127","전남광주통합특별시 북구 오치동","1***","25m이상","97.92","월세","202512","29","500","50","","서하로","202601~202801","신규","-","","","단독다가구"
"128","전남광주통합특별시 북구 용봉동","1***","8m미만","26.00","월세","202512","29","200","37","2018","반룡로","202601~202701","신규","-","","","단독다가구"
"129","전남광주통합특별시 북구 용봉동","1***","8m미만","20.00","월세","202512","29","200","37","2017","반룡로6번길","202601~202701","신규","-","","","단독다가구"
"130","전남광주통합특별시 광산구 월계동","7**","25m미만","60.00","월세","202512","29","200","40","1996","월계로","202601~202701","신규","-","","","단독다가구"
"131","전남광주통합특별시 동구 지산동","5**","8m미만","22.00","월세","202512","29","150","29","2009","필문대로273번길","202512~202612","신규","-","","","단독다가구"
"132","전남광주통합특별시 남구 월산동","9**","12m미만","20.72","전세","202512","29","8,500","0","2020","경열로76번길","202601~202801","신규","-","","","단독다가구"
"133","전남광주통합특별시 동구 지산동","7**","25m미만","17.00","월세","202512","29","50","23","2002","밤실로","202512~202612","신규","-","","","단독다가구"
"134","전남광주통합특별시 광산구 수완동","1***","12m미만","39.00","월세","202512","29","500","50","2016","수완로74번길","202512~202612","신규","-","","","단독다가구"
"135","전남광주통합특별시 광산구 수완동","1***","12m미만","25.65","월세","202512","29","100","28","2012","수완로74번길","202512~202612","신규","-","","","단독다가구"
"136","전남광주통합특별시 동구 지산동","7**","12m미만","19.68","월세","202512","29","200","30","2013","지산로85번길","202601~202612","신규","-","","","단독다가구"
"137","전남광주통합특별시 광산구 하남동","8**","25m이상","29.00","월세","202512","29","500","30","2020","손재로","-","-","-","","","단독다가구"
"138","전남광주통합특별시 영광군 영광읍 녹사리","4*","12m미만","20.46","월세","202512","29","300","35","2019","천년로","202512~202612","신규","-","","","단독다가구"
"139","전남광주통합특별시 목포시 옥암동","1***","12m미만","110.47","월세","202512","29","1,500","80","2018","남악2로9번길","202601~202801","신규","-","","","단독다가구"
"140","전남광주통합특별시 북구 오치동","9**","8m미만","188.55","월세","202512","29","300","35","1992","우치로303번길","202512~202612","신규","-","","","단독다가구"
"141","전남광주통합특별시 동구 서석동","9*","8m미만","25.00","월세","202512","29","200","31","2002","백서로167번길","202601~202701","신규","-","","","단독다가구"
"142","전남광주통합특별시 구례군 산동면 위안리","7**","12m미만","110.07","월세","202512","29","3,000","60","2018","산수유꽃길로","202601~202801","신규","-","","","단독다가구"
"143","전남광주통합특별시 나주시 남평읍 수원리","5**","8m미만","121.90","월세","202512","29","1,000","50","1984","수원금당길","202602~202802","신규","-","","","단독다가구"
"144","전남광주통합특별시 동구 동명동","1**","25m미만","30.00","월세","202512","29","200","29","2009","동명로","202512~202612","신규","-","","","단독다가구"
"145","전남광주통합특별시 광산구 월계동","8**","25m미만","49.00","월세","202512","29","500","40","2015","산월로","202601~202701","신규","-","","","단독다가구"
"146","전남광주통합특별시 광산구 신창동","1***","12m미만","26.00","월세","202512","29","200","33","2008","신창로86번길","202601~202801","신규","-","","","단독다가구"
"147","전남광주통합특별시 광산구 신창동","1***","12m미만","22.48","전세","202512","29","3,000","0","2012","신창로166번길","202601~202712","신규","-","","","단독다가구"
"148","전남광주통합특별시 광산구 신가동","1***","25m미만","32.70","전세","202512","29","6,000","0","2013","수완로11번길","202601~202801","신규","-","","","단독다가구"
"149","전남광주통합특별시 동구 서석동","*","8m미만","15.40","월세","202512","29","300","41","2019","백서로","202601~202701","신규","-","","","단독다가구"
"150","전남광주통합특별시 동구 서석동","9*","8m미만","27.00","월세","202512","29","300","27","2010","백서로175번길","202601~202801","신규","-","","","단독다가구"
"151","전남광주통합특별시 목포시 연산동","1***","25m미만","62.30","월세","202512","29","500","55","2014","연산백련로7번길","202601~202701","신규","-","","","단독다가구"
"152","전남광주통합특별시 광산구 신창동","1***","12m미만","33.00","월세","202512","29","200","28","2009","신창로138번길","202512~202612","신규","-","","","단독다가구"
"153","전남광주통합특별시 광산구 신창동","1***","12m미만","44.12","월세","202512","29","2,000","85","2019","신창로48번길","202512~202712","신규","-","","","단독다가구"
"154","전남광주통합특별시 광양시 광양읍 도월리","5**","8m미만","60.00","월세","202512","29","0","40","","도월길","202512~202712","신규","-","","","단독다가구"
"155","전남광주통합특별시 해남군 해남읍 고도리","9*","8m미만","36.30","전세","202512","29","2,500","0","1986","평남3길","202512~202712","갱신","-","2,000","0","단독다가구"
"156","전남광주통합특별시 광산구 흑석동","7**","12m미만","15.00","전세","202512","29","3,500","0","2021","하남울로공원2길","-","-","-","","","단독다가구"
"157","전남광주통합특별시 동구 지산동","4**","8m미만","18.00","월세","202512","29","200","29","1994","지산로38번길","202601~202701","신규","-","","","단독다가구"
"158","전남광주통합특별시 무안군 청계면 도림리","4**","12m미만","26.40","월세","202512","29","30","17","1973","승달산길","202601~202612","신규","-","","","단독다가구"
"159","전남광주통합특별시 무안군 청계면 도림리","4**","12m미만","26.40","월세","202512","29","15","30","2014","도림길","202601~202612","신규","-","","","단독다가구"
"160","전남광주통합특별시 무안군 청계면 도림리","2**","8m미만","30.00","월세","202512","29","30","32","2015","승달산길","202512~202612","신규","-","","","단독다가구"
"161","전남광주통합특별시 남구 봉선동","9**","12m미만","26.48","월세","202512","29","500","34","2013","봉선로51번길","202512~202612","신규","-","","","단독다가구"
"162","전남광주통합특별시 목포시 옥암동","1***","12m미만","30.30","월세","202512","29","300","35","2014","남악1로52번나길","202512~202612","신규","-","","","단독다가구"
"163","전남광주통합특별시 광양시 중동","1***","12m미만","20.00","월세","202512","29","100","29","2010","중마용소길","202512~202612","신규","-","","","단독다가구"
"164","전남광주통합특별시 여수시 주삼동","1**","8m미만","18.85","월세","202512","29","200","50","2020","봉계1길","202512~202603","신규","-","","","단독다가구"
"165","전남광주통합특별시 서구 쌍촌동","9**","8m미만","27.14","월세","202512","29","300","46","2019","상무대로955번길","202512~202612","신규","-","","","단독다가구"
"166","전남광주통합특별시 순천시 매곡동","3**","12m미만","23.14","월세","202512","29","100","30","2011","북정3길","202512~202612","갱신","-","100","30","단독다가구"
"167","전남광주통합특별시 여수시 학동","2**","12m미만","26.00","월세","202512","29","200","35","2016","시청서4길","202601~202701","신규","-","","","단독다가구"
"168","전남광주통합특별시 여수시 미평동","7**","12m미만","26.45","월세","202512","29","30","25","2004","양지1길","202602~202702","신규","-","","","단독다가구"
"169","전남광주통합특별시 서구 화정동","7**","12m미만","36.00","월세","202512","29","5,000","20","2015","화운로126번길","-","-","-","","","단독다가구"
